Method,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetArrayPropertyMultipleTimesWithCache,4,1,12,18,0,7,0,12,0,0,0,0,0,0,8,2,8,0,0,0,0,0,24,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetPropertyWithFunction,5,1,8,21,0,4,0,8,0,0,0,0,0,0,6,0,5,0,0,2,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetIntPropertyMultipleTimesWithPropertyChanges,4,1,8,15,0,6,0,8,0,0,0,0,0,0,1,3,7,0,0,0,0,0,21,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetDurationProperty,4,1,6,11,0,3,0,6,0,0,0,0,0,0,6,14,4,8,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetIntPropertyMultipleTimesWithShortExpireTime,8,1,15,21,0,4,0,15,0,0,0,0,0,0,1,4,5,0,0,1,0,0,31,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetIntProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,2,7,0,0,0,0,0,17,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testRemoveChangeListener,7,1,11,44,0,11,0,11,0,0,0,0,0,0,1,4,11,0,0,2,0,0,23,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetShortProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,2,7,0,0,0,0,0,16,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetPropertyNamesWithNullProp,3,1,6,6,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testLongPollingRefresh,14,1,32,38,0,14,0,32,1,1,0,0,0,0,6,5,14,0,0,1,0,0,52,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testLoadConfigWithOrderedProperties,9,1,17,25,0,8,0,17,1,1,0,0,0,0,6,1,8,0,0,1,0,0,31,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/RemoteConfigRepositoryTest.java.testLoadConfig,6,1,11,14,0,6,0,11,1,1,0,0,0,0,2,1,6,0,0,0,0,0,19,1,0,AR
